Symbol,CompanyName
360ONE,360 One Wam Limited
ABB,ABB India Limited
ABCAPITAL,Aditya Birla Capital Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ALKEM,Alkem Laboratories Limited
AMBER,Amber Enterprises India Limited
AMBUJACEM,Ambuja Cements Limited
ANGELONE,Angel One Limited
APLAPOLLO,APL Apollo Tubes Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
ASHOKLEY,Ashok Leyland Limited
ASIANPAINT,Asian Paints Limited
ASTRAL,Astral Limited
AUBANK,AU Small Finance Bank Limited
AUROPHARMA,Aurobindo Pharma Limited
AXISBANK,Axis Bank Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJFINANCE,Bajaj Finance Limited
BANDHANBNK,Bandhan Bank Limited
BANKBARODA,Bank of Baroda Limited
BANKINDIA,Bank of India Limited
BDL,Bharat Dynamics Limited
BEL,Bharat Electronics Limited
BHARATFORG,Bharat Forge Limited
BHARTIARTL,Bharti Airtel Limited
BHEL,Bharat Heavy Electricals Limited
BIOCON,Biocon Limited
BLUESTARCO,Blue Star Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries Limited
BSE,BSE Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CDSL,Central Depository Services (India) Limited
CGPOWER,CG Power and Industrial Solutions Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CIPLA,Cipla Limited
COALINDIA,Coal India Limited
COCHINSHIP,Cochin Shipyard Limited
COFORGE,Coforge Limited
COLPAL,Colgate-Palmolive (India) Limited
CONCOR,Container Corporation of India Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CUMMINSIND,Cummins India Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DELHIVERY,Delhivery Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DLF,DLF Limited
DMART,Avenue Supermarts Limited
DRREDDY,Dr. Reddy's Laboratories Limited
EICHERMOT,Eicher Motors Limited
ETERNAL,Eternal Limited
EXIDEIND,Exide Industries Limited
FEDERALBNK,The Federal Bank Limited
FORCEMOT,Force Motors Limited
FORTIS,Fortis Healthcare Limited
GAIL,GAIL (India) Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GMRAIRPORT,GMR Airports Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODREJCP,Godrej Consumer Products Limited
GODREJPROP,Godrej Properties Limited
GRASIM,Grasim Industries Limited
GVT&D,GE Vernova T&D India Ltd
HAL,Hindustan Aeronautics Limited
HAVELLS,Havells India Limited
HCLTECH,HCL Technologies Limited
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HEROMOTOCO,Hero MotoCorp Limited
HINDALCO,Hindalco Industries Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HYUNDAI,HYUNDAI MOTOR INDIA LTD
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
IDEA,Vodafone Idea Limited
IDFCFIRSTB,IDFC First Bank Limited
IEX,Indian Energy Exchange Limited
INDHOTEL,The Indian Hotels Company Limited
INDIANB,Indian Bank
INDIGO,InterGlobe Aviation Limited
INDUSINDBK,IndusInd Bank Limited
INDUSTOWER,Indus Towers Limited
INFY,Infosys Limited
INOXWIND,Inox Wind Limited
IOC,Indian Oil Corporation Limited
IREDA,Indian Renewable Energy Development Agency Limited
IRFC,Indian Railway Finance Corporation Limited
ITC,ITC Limited
JINDALSTEL,Jindal Steel Limited
JIOFIN,Jio Financial Services Limited
JSWENERGY,JSW Energy Limited
JSWSTEEL,JSW Steel Limited
JUBLFOOD,Jubilant FoodWorks Limited
KALYANKJIL,Kalyan Jewellers India Limited
KAYNES,Kaynes Technology India Limited
KEI,KEI Industries Limited
KFINTECH,KFin Technologies Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KPITTECH,KPIT Technologies Limited
LAURUSLABS,Laurus Labs Limited
LICHSGFIN,LIC Housing Finance Limited
LICI,Life Insurance Corporation of India
LODHA,Lodha Developers Limited
LT,Larsen & Toubro Limited
LTF,L&T Finance Limited
LTM,LTM Limited
LUPIN,Lupin Limited
M&M,Mahindra & Mahindra Limited
MANAPPURAM,Manappuram Finance Limited
MANKIND,Mankind Pharma Limited
MARICO,Marico Limited
MARUTI,Maruti Suzuki India Limited
MAXHEALTH,Max Healthcare Institute Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
MCX,Multi Commodity Exchange of India Limited
MFSL,Max Financial Services Limited
MOTHERSON,Samvardhana Motherson International Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
MPHASIS,Mphasis Limited
MUTHOOTFIN,Muthoot Finance Limited
NAM-INDIA,Nippon Life India Asset Management Limited
NATIONALUM,National Aluminium Company Limited
NAUKRI,Info Edge (India) Limited
NBCC,NBCC (India) Limited
NESTLEIND,Nestlé India Limited
NHPC,NHPC Limited
NMDC,NMDC Limited
NTPC,NTPC Limited
NUVAMA,Nuvama Wealth Management Limited
NYKAA,FSN E-Commerce Ventures Limited
OBEROIRLTY,Oberoi Realty Limited
OFSS,Oracle Financial Services Software Limited
OIL,Oil India Limited
ONGC,Oil and Natural Gas Corporation Limited
PAGEIND,Page Industries Limited
PATANJALI,Patanjali Foods Limited
PAYTM,One97 Communications Limited
PERSISTENT,Persistent Systems Limited
PETRONET,Petronet LNG Limited
PFC,Power Finance Corporation Limited
PGEL,PG Electroplast Limited
PHOENIXLTD,The Phoenix Mills Limited
PIDILITIND,Pidilite Industries Limited
PIIND,PI Industries Limited
PNB,Punjab National Bank
PNBHOUSING,PNB Housing Finance Limited
POLICYBZR,PB Fintech Limited
POLYCAB,Polycab India Limited
POWERGRID,Power Grid Corporation of India Limited
POWERINDIA,Hitachi Energy India Limited
PREMIERENE,PREMIER ENERGIES LIMITED
PRESTIGE,Prestige Estates Projects Limited
RADICO,Radico Khaitan Limited
RBLBANK,RBL Bank Limited
RECLTD,REC Limited
RELIANCE,Reliance Industries Limited
RVNL,Rail Vikas Nigam Limited
SAIL,Steel Authority of India Limited
SBICARD,SBI Cards and Payment Services Limited
SBILIFE,SBI Life Insurance Company Limited
SBIN,State Bank of India
SHREECEM,Shree Cement Limited
SHRIRAMFIN,Shriram Finance Limited
SIEMENS,Siemens Limited
SOLARINDS,Solar Industries India Limited
SONACOMS,Sona BLW Precision Forgings Limited
SRF,SRF Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUPREMEIND,The Supreme Industries Limited
SUZLON,Suzlon Energy Limited
SWIGGY,SWIGGY LIMITED
TATACONSUM,Tata Consumer Products Limited
TATAELXSI,Tata Elxsi Limited
TATAPOWER,The Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TCS,Tata Consultancy Services Limited
TECHM,Tech Mahindra Limited
TIINDIA,Tube Investments of India Limited
TITAN,Titan Company Limited
TMPV,Tata Motors Passenger Vehicles Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TRENT,Trent Limited
TVSMOTOR,TVS Motor Company Limited
ULTRACEMCO,UltraTech Cement Limited
UNIONBANK,Union Bank of India
UNITDSPR,UNITED SPIRITS LIMITED
UNOMINDA,Uno Minda Limited
UPL,UPL Limited
VBL,Varun Beverages Limited
VEDL,Vedanta Limited
VMM,VISHAL MEGA MART LIMITED
VOLTAS,Voltas Limited
WAAREEENER,WAAREE ENERGIES LIMITED
WIPRO,Wipro Limited
YESBANK,Yes Bank Limited
ZYDUSLIFE,Zydus Lifesciences Limited
